FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,W/L
35,80,43.8,13,36,36.1,22,27,81.5,6,33,39,20,8,1,15,31,-5,104,108.9,-5,57.1,1.33,19.1,68,44.3,14.9,51.9,57.1,91.47,46.7,0
39,88,44.3,17,41,41.5,3,5,60,10,27,37,21,11,2,15,20,-2,105.4,106.4,-1,53.8,1.4,25.5,77.1,46.5,16.1,54,54.3,93.5,45.6,0
33,77,42.9,13,33,39.4,27,37,73,10,40,50,22,5,13,21,22,7,103.9,99,4.9,66.7,1.05,24.5,68.3,48.6,20.6,51.3,56.8,101,53.4,1
36,75,48,16,37,43.2,25,29,86.2,3,29,32,20,9,0,18,20,7,114.1,106,8.1,55.6,1.11,19,71.1,46,18.2,58.7,64.4,99.5,52.3,1
36,94,38.3,14,38,36.8,17,25,68,11,36,47,24,8,2,11,22,-4,103,108.1,-5.1,66.7,2.18,30.2,77.6,50.9,11,45.7,49,99.5,44.9,0
34,89,38.2,10,29,34.5,12,18,66.7,14,28,42,20,14,4,18,20,-14,90.9,104,-13.1,58.8,1.11,28.8,67.4,45.7,18.2,43.8,46.4,99.5,36,0
36,86,41.9,9,39,23.1,13,20,65,8,29,37,24,8,4,17,20,-23,94,115.8,-21.8,66.7,1.41,18.9,66.7,40.8,17,47.1,49.6,100.5,36.6,0
43,95,45.3,22,47,46.8,8,12,66.7,13,26,39,27,12,3,13,20,1,119.6,117.3,2.2,62.8,2.08,31.5,70,47.9,13.4,56.8,57.8,97.5,48.2,1
41,90,45.6,10,30,33.3,16,20,80,14,27,41,23,11,3,13,24,-8,109.1,117.2,-8.1,56.1,1.77,27.5,66.7,45.2,13.1,51.1,54.7,99,42.2,0
39,91,42.9,14,27,51.9,17,26,65.4,12,43,55,25,9,7,15,24,20,109,89,20,64.1,1.67,32.7,76.3,55.3,15,50.5,53.2,100,60.3,1
39,97,40.2,12,34,35.3,11,14,78.6,13,37,50,25,6,6,15,25,-14,97.1,110.6,-13.5,64.1,1.67,25.9,79.2,50,14.4,46.4,49,104,40.6,0
32,91,35.2,9,39,23.1,38,41,92.7,17,39,56,15,8,2,20,30,-6,100.9,107.3,-6.4,46.9,0.75,37.7,82.4,58,18.2,40.1,50.9,109.5,40.9,0
38,93,40.9,18,43,41.9,21,25,84,10,35,45,25,14,1,20,29,-9,101.8,109.7,-8,65.8,1.25,23.6,67.3,45.5,17.7,50.5,55.3,113,45.1,0
41,81,50.6,14,33,42.4,24,31,77.4,9,37,46,22,9,2,20,25,18,116.5,99,17.5,53.7,1.1,30.2,70.7,53.5,19.4,59.3,63.4,103,61.3,1
37,98,37.8,4,32,12.5,16,18,88.9,11,35,46,21,14,5,15,22,-23,86.2,108.3,-22.1,56.8,1.4,22.6,77.6,46.8,13.8,39.8,44.4,108.5,40.9,0
41,82,50,13,33,39.4,18,27,66.7,7,36,43,26,11,9,20,30,20,104.6,87.7,16.9,63.4,1.3,17.4,85.4,52.1,18.5,57.9,60.2,107,62.9,1
43,85,50.6,14,32,43.8,12,23,52.2,7,35,42,22,11,4,16,21,-6,107.7,112.4,-4.7,51.2,1.38,17,73.1,46.5,15.4,58.8,58.9,104.5,45.6,0
36,84,42.9,9,29,31,14,25,56,6,36,42,27,8,2,18,21,-13,91.3,103.8,-12.5,75,1.5,24.1,75.5,48.5,17.3,48.2,50,104,42.6,0
39,89,43.8,16,40,40,18,23,78.3,11,31,42,29,6,1,17,18,6,112,105,7,74.4,1.71,29.6,71.7,49,17,52.8,56.5,100.5,49.2,1
39,90,43.3,14,39,35.9,19,23,82.6,9,23,32,25,6,5,7,24,-6,113.3,120.6,-7.4,64.1,3.57,25.9,63.4,42.1,7.1,51.1,55.4,97.5,44.4,0
36,85,42.4,9,35,25.7,17,21,81,8,30,38,19,6,5,10,22,-7,103.2,110.5,-7.4,52.8,1.9,21.2,52.5,38.1,10.5,47.6,52,95,48.4,0
29,97,29.9,9,35,25.7,17,25,68,12,33,45,18,9,2,15,22,-24,79.2,101.9,-22.6,62.1,1.2,23.9,77.3,44.3,14.2,34.5,38.9,106,25.7,0
40,93,43,12,42,28.6,18,24,75,9,36,45,18,14,7,14,21,8,103.8,96.2,7.5,45,1.29,25,69,47.4,13.2,49.5,53.1,106,51.8,1
49,105,46.7,9,30,30,18,22,81.8,20,29,49,25,11,4,12,20,-1,120.2,120,0.2,51,2.08,40.4,72.7,54.5,11.5,51,54.5,104.5,49.4,0
40,80,50,6,24,25,17,23,73.9,9,26,35,29,9,5,18,15,-5,105.1,109.1,-4,72.5,1.61,23.8,65.1,44.7,18.4,53.8,57.1,98.5,50.3,0
43,94,45.7,13,34,38.2,33,45,73.3,14,46,60,26,4,4,18,24,3,110.9,110.3,0.7,60.5,1.44,28.6,86,57.5,15.1,52.7,58,106.87,51.1,1
42,76,55.3,12,28,42.9,8,12,66.7,8,31,39,32,8,2,22,17,2,110.6,107.4,3.3,76.2,1.45,27.8,72.7,52.5,23.4,63.2,64,94.5,53.5,1
39,89,43.8,13,38,34.2,15,20,75,17,33,50,24,6,2,13,19,-6,110.4,117.9,-7.5,61.5,1.85,33.3,69.4,50.5,13.5,51.1,54.2,95.5,47.3,0
42,91,46.2,17,41,41.5,12,18,66.7,11,25,36,28,10,1,7,18,-13,117.7,131.3,-13.5,66.7,4,23.1,72.2,43.2,7.3,55.5,57.1,96,42.9,0
